ruta,fereastra_orara,timestamp_local,t_rel_s,v_kmh,rpm,maf_g_s,sarcina_motor_pct,t_lichid_racire_C,t_aer_admisie_C,t_ambiant_C,altitudine_m,p_galerie_psi,HDOP,a_ms2,dist_cum_m,stationare,clasa_RDE,segment,debit_comb_model_ml_s,comb_cum_l_model,CO2_g_s_model,CO2_g_s_stoich_MAF,debit_comb_fizic_ml_s,CO2_g_s_fizic
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:44,2362,48.0,1392.7581001472754,19.15796759941089,23.33787923416788,88.6759941089838,35.0,21.0,35.12120765832106,16.671885125184094,1.708174298567429,-0.07,38376.6,0,urban,S4_urban_retur,0.2284,1.8331,0.6026,4.1751,0.2544,0.6713
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:45,2363,48.14748201438826,1406.222571942443,20.033687050359703,28.56339928057443,88.07374100719413,35.0,21.0,35.91151079136704,17.238615107913702,2.2920594335821285,0.2703,38390.0,0,urban,S4_urban_retur,0.4742,1.8335,1.2512,4.366,0.9747,2.5719
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:46,2364,49.94604316546727,1430.2783273381249,20.07865107913668,37.38534172661696,88.97302158273364,35.0,21.0,34.83237410071963,16.977823741007246,1.6536252908369995,0.1184,38403.9,0,urban,S4_urban_retur,0.8713,1.8344,2.2991,4.3758,0.6839,1.8047
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:47,2365,49.0,1410.7246070133012,20.34879081015716,25.689081015719125,88.0,34.0,21.0,36.47811366384544,17.41472793228534,1.575557424435824,-0.1314,38417.5,0,urban,S4_urban_retur,0.3251,1.8347,0.8577,4.4346,0.1307,0.345
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:48,2366,49.0,1419.788225446433,20.599218749999952,30.35062500000044,88.23995535714297,34.0,21.0,34.16400669642856,17.481238839285616,2.361850563707056,0.0,38431.1,0,urban,S4_urban_retur,0.5653,1.8353,1.4915,4.4892,0.4133,1.0906
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:49,2367,49.0,1441.4716326530618,20.25395918367348,30.061877551020576,89.0,34.0,21.0,34.010938775510205,16.93457959183673,2.0041851941172486,0.0,38444.7,0,urban,S4_urban_retur,0.5928,1.8359,1.5641,4.414,0.4133,1.0906
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:50,2368,49.0,1420.3458083832347,20.19547904191617,22.38137724550956,89.0,34.140718562874305,21.0,34.15329341317374,17.219191616766455,2.544054280954588,0.0405,38458.3,0,urban,S4_urban_retur,0.1972,1.8361,0.5203,4.4012,0.5004,1.3204
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:51,2369,49.291381668946606,1440.9982900136797,20.278344733242136,30.102845417236978,89.0,35.0,21.0,35.29206566347476,16.92629274965801,1.746435444654176,0.1355,38472.0,0,urban,S4_urban_retur,0.539,1.8366,1.4222,4.4193,0.7098,1.873
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:52,2370,49.97537619699038,1445.1022571819424,20.250984952120383,25.27384404924789,89.0,35.0,21.0,34.33447332421346,16.823693570451443,1.6168568514364916,0.1885,38485.9,0,urban,S4_urban_retur,0.3232,1.8369,0.8528,4.4133,0.8382,2.2117
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:53,2371,50.648648648648624,1459.8716216216217,20.81972972972973,29.188108108107983,89.0,35.0,21.0,34.01756756756757,17.207297297297295,2.4975879824187563,0.0384,38500.0,0,urban,S4_urban_retur,0.5422,1.8375,1.4307,4.5373,0.5182,1.3672
