ruta,fereastra_orara,timestamp_local,segment,t_rel_s,v_kmh,a_ms2,dist_cum_m,rpm,maf_g_s,sarcina_motor_pct,CO2_g_s_benzina,CO2_g_s_diesel,stationare,clasa_RDE,strada,tip_drum_OSM,dist_map_match_m
RUTA_A,11-13,2026-04-02 11:50:03,11:47,126,8.68,-0.249,117.6,1033.0,2.549,2.5,0.5497,0.5555,0,urban,Strada Țepeș Vodă,residential,3.0
RUTA_A,11-13,2026-04-02 11:50:04,11:47,127,8.0,-0.094,119.8,912.0,2.404,2.4,0.5183,0.5238,0,urban,Strada Țepeș Vodă,residential,0.6
RUTA_A,11-13,2026-04-02 11:50:05,11:47,128,8.0,0.0,122.0,836.0,2.362,2.4,0.5093,0.5147,0,urban,Strada Țepeș Vodă,residential,0.9
RUTA_A,11-13,2026-04-02 11:50:06,11:47,129,8.0,0.0,124.2,809.0,2.342,2.4,0.5051,0.5104,0,urban,Strada Țepeș Vodă,residential,3.2
RUTA_A,11-13,2026-04-02 11:50:07,11:47,130,8.0,-0.069,126.4,803.0,2.331,2.4,0.5027,0.5081,0,urban,Strada Țepeș Vodă,residential,5.8
RUTA_A,11-13,2026-04-02 11:50:08,11:47,131,7.5,-0.177,128.5,793.0,2.335,2.4,0.5035,0.5089,0,urban,Strada Țepeș Vodă,residential,8.4
RUTA_A,11-13,2026-04-02 11:50:09,11:47,132,6.72,-0.434,130.4,783.0,2.339,2.4,0.5045,0.5098,0,urban,Strada Țepeș Vodă,residential,10.5
RUTA_A,11-13,2026-04-02 11:50:10,11:47,133,4.37,-0.581,131.6,777.0,2.333,2.4,0.5032,0.5085,0,urban,Strada Țepeș Vodă,residential,8.7
RUTA_A,11-13,2026-04-02 11:50:11,11:47,134,2.54,-0.407,132.3,776.0,2.351,2.4,0.5069,0.5123,0,urban,Strada Țepeș Vodă,residential,7.5
RUTA_A,11-13,2026-04-02 11:50:12,11:47,135,1.44,-0.259,132.7,782.0,2.4,2.4,0.5176,0.5231,0,urban,Strada Țepeș Vodă,residential,7.1
RUTA_A,11-13,2026-04-02 11:50:13,11:47,136,0.68,-0.181,132.9,785.0,2.414,2.4,0.5205,0.526,1,urban,Strada Țepeș Vodă,residential,6.9
RUTA_A,11-13,2026-04-02 11:50:14,11:47,137,0.14,-0.094,132.9,786.0,2.403,2.4,0.5181,0.5236,1,urban,Strada Țepeș Vodă,residential,6.8
RUTA_A,11-13,2026-04-02 11:50:15,11:47,138,0.0,-0.019,132.9,788.0,2.396,2.4,0.5167,0.5221,1,urban,Strada Țepeș Vodă,residential,6.6
